month,day,year,sno,state,total_schools,reported_schools,meal_not_served,food_grains,fund,cook_cum_helper,ngo_shg,holidays,others
1,17,2026,5,GOA,1216,1216,34,2,0,0,0,30,2
1,17,2026,6,GUJARAT,32251,31711,75,0,1,31,1,4,38
1,17,2026,7,HIMACHAL PRADESH,14416,8534,38,1,0,0,0,29,8
1,17,2026,8,MADHYA PRADESH,88192,83558,905,35,1,4,3,471,391
1,17,2026,9,MAHARASHTRA,83605,75862,738,0,8,228,0,289,213
1,17,2026,10,ODISHA,50354,41786,113,0,0,0,0,75,38
1,17,2026,11,PUNJAB,19574,15607,46,0,0,0,0,35,11
1,17,2026,12,RAJASTHAN,67628,47597,1199,73,1,27,3,813,282
1,17,2026,13,TRIPURA,4327,4315,119,4,0,0,0,95,20
1,17,2026,14,UTTAR PRADESH,141688,104471,1163,41,23,24,19,364,692
1,17,2026,15,UTTARAKHAND,16273,13787,1923,0,0,0,0,1697,226
1,17,2026,16,WEST BENGAL,81824,75145,1762,2,1,16,1,345,1397
1,18,2026,NA,NA,0,0,0,0,0,0,0,0,0
1,19,2026,1,A & N ISLANDS,325,325,2,0,0,0,0,2,0
1,19,2026,2,ANDHRA PRADESH,43218,43119,6,0,0,0,0,0,6
1,19,2026,3,ASSAM,43785,42441,2,0,0,0,0,0,2
1,19,2026,4,BIHAR,65961,59051,76,3,1,6,3,1,62
1,19,2026,5,DELHI,2793,2751,3,0,0,0,0,0,3
1,19,2026,6,GOA,1216,1216,17,0,0,0,0,16,1
1,19,2026,7,GUJARAT,32251,31856,75,3,0,28,0,4,40
1,19,2026,8,HARYANA,14197,12527,1,0,0,0,0,0,1
1,19,2026,9,HIMACHAL PRADESH,14416,8780,35,0,0,0,0,29,6
1,19,2026,10,MADHYA PRADESH,88192,86501,451,17,0,3,0,1,430
1,19,2026,11,MAHARASHTRA,83605,78341,581,0,8,252,0,162,159
1,19,2026,12,MIZORAM,2481,2017,1,0,0,0,0,0,1
1,19,2026,13,ODISHA,50354,36891,44,0,0,0,0,15,29
1,19,2026,14,PUNJAB,19574,18206,18,0,0,0,0,1,17
1,19,2026,15,RAJASTHAN,67628,48308,652,72,0,16,4,368,192
1,19,2026,16,TAMIL NADU,41658,39212,68,0,0,0,0,22,46
1,19,2026,17,TRIPURA,4327,4315,4,0,0,0,0,0,4
1,19,2026,18,UTTAR PRADESH,141688,131681,683,35,21,14,43,61,509
1,19,2026,19,UTTARAKHAND,16273,14168,1433,0,0,0,0,1209,224
1,19,2026,20,WEST BENGAL,81824,76802,1162,4,1,38,3,128,988
1,20,2026,1,A & N ISLANDS,325,325,1,0,0,0,0,1,0
1,20,2026,2,ANDHRA PRADESH,43218,43115,4,0,0,0,0,0,4
1,20,2026,3,ASSAM,43785,42084,3,2,0,0,0,0,1
1,20,2026,4,BIHAR,65961,59480,70,3,3,11,1,0,52
1,20,2026,5,DELHI,2793,2788,4,0,0,0,0,0,4
1,20,2026,6,GOA,1216,1216,8,0,0,0,0,8,0
1,20,2026,7,GUJARAT,32251,30877,129,3,1,25,1,21,78
1,20,2026,8,HARYANA,14197,13003,1,0,0,0,0,0,1
1,20,2026,9,HIMACHAL PRADESH,14416,8654,37,1,0,0,1,28,7
1,20,2026,10,MADHYA PRADESH,88192,86205,428,17,0,2,2,1,406
1,20,2026,11,MAHARASHTRA,83605,78290,433,0,4,232,0,65,132
1,20,2026,12,MIZORAM,2481,1969,1,1,0,0,0,0,0
1,20,2026,13,ODISHA,50354,36580,10,0,0,0,0,0,10
1,20,2026,14,PUNJAB,19574,16808,15,0,0,0,0,1,14
1,20,2026,15,RAJASTHAN,67628,50327,503,104,1,24,6,177,191
1,20,2026,16,TAMIL NADU,41658,39447,129,0,1,17,0,19,92
1,20,2026,17,TRIPURA,4327,4316,4,1,0,0,0,1,2
1,20,2026,18,UTTAR PRADESH,141688,134516,653,33,20,15,25,57,503
1,20,2026,19,UTTARAKHAND,16273,15447,1814,0,0,0,0,1598,216
1,20,2026,20,WEST BENGAL,81824,76987,1157,1,1,11,2,159,983
1,21,2026,1,A & N ISLANDS,325,325,6,0,0,0,0,6,0
1,21,2026,2,ANDHRA PRADESH,43218,43141,3,0,0,0,0,0,3
1,21,2026,3,ASSAM,43785,39768,1,0,0,0,0,0,1
1,21,2026,4,BIHAR,65961,59442,74,5,2,3,1,0,63
1,21,2026,5,DELHI,2793,2783,6,0,0,0,0,0,6
1,21,2026,6,GOA,1216,1216,21,0,0,0,0,21,0
1,21,2026,7,GUJARAT,32251,31765,71,2,0,29,0,3,37
1,21,2026,8,HARYANA,14197,13413,2,0,0,1,0,0,1
1,21,2026,9,HIMACHAL PRADESH,14416,8712,34,0,0,0,0,29,5
1,21,2026,10,MADHYA PRADESH,88192,85637,422,23,2,1,1,1,394
1,21,2026,11,MAHARASHTRA,83605,78369,380,0,9,201,0,28,142
1,21,2026,12,MIZORAM,2481,1976,1,0,0,0,0,0,1
1,21,2026,13,ODISHA,50354,35822,31,1,0,0,0,1,29
1,21,2026,14,PUDUCHERRY,427,427,1,0,0,0,0,0,1
